iter	Passed	Remaining
0	1	105
1	2	98
2	2	88
3	3	80
4	4	77
5	4	75
6	5	74
7	6	72
8	6	70
9	7	69
10	8	67
11	9	66
12	9	65
13	10	64
14	11	63
15	11	62
16	12	61
17	13	60
18	14	59
19	14	59
20	15	58
21	16	57
22	16	56
23	17	55
24	18	54
25	18	54
26	19	53
27	20	52
28	21	51
29	21	51
30	22	50
31	23	49
32	24	48
33	24	48
34	25	47
35	26	46
36	26	45
37	27	45
38	28	44
39	29	43
40	30	43
41	30	41
42	31	41
43	31	40
44	32	39
45	33	39
46	34	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	41	30
57	41	30
58	42	29
59	43	28
60	44	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	54	18
75	54	17
76	55	16
77	56	15
78	57	15
79	57	14
80	58	13
81	59	13
82	60	12
83	60	11
84	61	10
85	62	10
86	63	9
87	63	8
88	64	7
89	65	7
90	66	6
91	66	5
92	67	5
93	68	4
94	68	3
95	69	2
96	70	2
97	71	1
98	71	0
99	72	0
